method_id,phase,phase_bg,primary_component,title,original_text,template_text,Z1,Z2,Z3,Z4,Z5,Z6,OSI,SSI,default_duration_min,zone_distribution,min_readiness,max_percent_tref,tags,phase_reason,source_month,microcycle,microcycle_type,day_raw
m_022,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки 1:40-1:50ч - 1 час 1-2 зона - 6-8 ускорения по 15-20 сек през 3 мин леко - докарване до зададеното време След обяд: 1. Стрелба от спокойно положение (техническа) 1ч 2. Загрявка (10-15мин бягане) - Силова издръжливост /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ролки {време} - 1 час 1-2 зона - 6-8 ускорения по {сек} сек през {мин} мин леко - докарване до зададеното време След обяд: 1. Стрелба от спокойно положение (техническа) {часове} ч 2. Загрявка ({мин} мин бягане) - Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",75.0,50.0,0.0,0.0,3.0,0.0,50.0,0.0,178.0,"{""Z1"": 75.0, ""Z2"": 50.0, ""Z5"": 3.0, ""OSI"": 50.0}",80,0.5,"ролки,силова",обща издръжливост/ОСИ/база,Май,МИКРОЦИКЪЛ 5,ТИП НА МИКРОЦИКЪЛА:,ПОНЕДЕЛНИК 02.06
m_032,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки 1:30-1:40ч - 1 час 1-2 зона - 6-8 ускорения по 15 сек през 3 мин леко - докарване до зададеното време След обяд: 1. Загрявка (10 мин бягане) - Силова издръжливост /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ролки {време} - 1 час 1-2 зона - 6-8 ускорения по {сек} сек през {мин} мин леко - докарване до зададеното време След обяд: 1. Загрявка ({мин} мин бягане) - Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",70.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,160.0,"{""Z1"": 70.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,"ролки,силова",обща издръжливост/ОСИ/база,Юни,МИКРОЦИКЪЛ 9,ТИП НА МИКРОЦИКЪЛА: Възстановителен/поддържащ,СРЯДА 18.06
m_041,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. Ролки 1:50-2:00ч - КТ 1 час 1-2 зона - 8 ускорения по 15 сек през 3 мин леко - докарване до зададеното време След обяд: 1. Крос 30 мин - Максимална сила /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. Ролки {време} - КТ 1 час 1-2 зона - 8 ускорения по {сек} сек през {мин} мин леко - докарване до зададеното време След обяд: 1. Крос {мин} мин - Максимална сила /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",80.0,70.0,0.0,0.0,2.0,0.0,50.0,0.0,202.0,"{""Z1"": 80.0, ""Z2"": 70.0, ""Z5"": 2.0, ""OSI"": 50.0}",80,0.5,"ролки,крос,силова",обща издръжливост/ОСИ/база,Юни,МИКРОЦИКЪЛ 10,ТИП НА МИКРОЦИКЪЛА: Възстановителен/поддържащ,СЪБОТА 28.06
m_044,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. КТ ролки 1:40-2 ч 1-2 зона - 1 час 1-2 зона - 6 ускорения по 20-30 сек по време на карането След обяд: 1. Загрявка (30 мин бягане) - Силова издръжливост /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. КТ ролки {време}-{часове} ч 1-2 зона - 1 час 1-2 зона - 6 ускорения по {сек} сек по време на карането След обяд: 1. Загрявка ({мин} мин бягане) - Силова издръжливост /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",90.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,180.0,"{""Z1"": 90.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,"ролки,силова",обща издръжливост/ОСИ/база,Юни,МИКРОЦИКЪЛ 11,ТИП НА МИКРОЦИКЪЛА: Развиващ,ВТОРНИК 01.07
m_051,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. КТ ролки 1:40-2 ч 1-2 зона - 1 час 1-2 зона - 6 ускорения по ...,Преди обяд: 1. КТ ролки {време}-{часове} ч 1-2 зона - 1 час 1-2 зона - 6 ускорения по ...,90.0,40.0,0.0,0.0,0.0,0.0,50.0,0.0,180.0,"{""Z1"": 90.0, ""Z2"": 40.0, ""OSI"": 50.0}",80,0.5,ролки,обща издръжливост/ОСИ/база,Юли,МИКРОЦИКЪЛ 13,ТИП НА МИКРОЦИКЪЛА: Развиващ,ВТОРНИК 08.07
m_058,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. Ролки 1:30-1:50ч или крос (1:00-1:20 ч) - 2 серии 4 отсечки п...,Преди обяд: 1. Ролки {време} или крос ({време}) - 2 серии 4 отсечки п...,60.0,30.0,0.0,0.0,3.0,0.0,60.0,0.0,153.0,"{""Z1"": 60.0, ""Z2"": 30.0, ""Z5"": 3.0, ""OSI"": 60.0}",80,0.5,"ролки,крос",обща издръжливост/ОСИ/база,Юли,МИКРОЦИКЪЛ 15,ТИП НА МИКРОЦИКЪЛА: Възстановителен,ПОНЕДЕЛНИК 21.07
m_061,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: ...,Преди обяд: ...,60.0,20.0,0.0,0.0,0.0,0.0,60.0,0.0,140.0,"{""Z1"": 60.0, ""Z2"": 20.0, ""OSI"": 60.0}",80,0.5,,обща издръжливост/ОСИ/база,Юли,МИКРОЦИКЪЛ 15,ТИП НА МИКРОЦИКЪЛА: Възстановителен,ЧЕТВЪРТЪК 24.07
m_064,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. Ролки 1:40-1:50ч - КТ 1 час 1-2 зона - 2 серии 4 по 15 сек от...,Преди обяд: 1. Ролки {време} - КТ 1 час 1-2 зона - 2 серии {повторения} по {дължина} сек от...,70.0,50.0,0.0,0.0,2.0,0.0,60.0,0.0,182.0,"{""Z1"": 70.0, ""Z2"": 50.0, ""Z5"": 2.0, ""OSI"": 60.0}",80,0.5,ролки,обща издръжливост/ОСИ/база,Юли,МИКРОЦИКЪЛ 16,ТИП НА МИКРОЦИКЪЛА: Развиващ,ПОНЕДЕЛНИК 28.07
m_067,early,1/3 до старта,OSI,Обща силова издръжливост,Преди обяд: 1. КТ ролки 1:40-2 ч 1-2 зона - 1 час 1-2 зона - 10-15 ускорения...,Преди обяд: 1. КТ ролки {време}-{часове} ч 1-2 зона - 1 час 1-2 зона - 10-15 ускорения...,80.0,60.0,0.0,0.0,2.0,0.0,60.0,0.0,202.0,"{""Z1"": 80.0, ""Z2"": 60.0, ""Z5"": 2.0, ""OSI"": 60.0}",80,0.5,ролки,обща издръжливост/ОСИ/база,Юли,МИКРОЦИКЪЛ 16,ТИП НА МИКРОЦИКЪЛА: Развиващ,ЧЕТВЪРТЪК 31.07
m_072,early,1/3 до старта,OSI,Обща силова издръжливост,"Преди обяд: 1. КТ крос имитация (по пътя) 10-12 по 1000 м 1-2 зона; След обяд: 1. Крос 10-15 мин - Максимална сила /силова зала/ 50 мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част","Преди обяд: 1. КТ крос имитация (по пътя) 10-12 по 1000 м 1-2 зона; След обяд: 1. Крос {мин} мин - Максимална сила /силова зала/ {мин} мин/3 упражнения по 4 серии за горна част, 3 упражнения по 4 серии за средна част и 2 упражнения по 4 серии за долна част",54.99999999999999,20.0,0.0,0.0,0.0,0.0,60.0,0.0,135.0,"{""Z1"": 55.0, ""Z2"": 20.0, ""OSI"": 60.0}",80,0.5,"крос,силова",обща издръжливост/ОСИ/база,Август,МИКРОЦИКЪЛ 17,ТИП НА МИКРОЦИКЪЛА: Развиващ,ВТОРНИК 12.08
